root,degree,depth,raw_words,distinct_points,minimum_distance,maximum_radius
phi,2,0,5,5,1.73205080756887729352744634151,1.7320508075688772
phi,2,1,25,25,1.07046626931926979582590952914,4.5345678844570241
phi,2,2,125,115,1.07046626931926979582590952914,9.0691357689140482
phi,2,3,625,525,1.07046626931926979582590952914,16.406220730259221
phi,2,4,3125,2363,0.661584538249607497701536812368,28.277873576061417
phi,2,5,15625,10545,0.661584538249607497701536812368,47.486611383208782
phi,2,6,78125,46509,0.661584538249607497701536812368,78.567002036158357
phi,2,7,390625,203785,0.661584538249607497701536812368,128.85613049625528
phi,2,8,1953125,887519,0.661584538249607497701536812368,210.22564960930177
rho,3,0,5,5,1.73205080756887729352744634151,1.7320508075688772
rho,3,1,25,25,0.562428000077878523452787288143,4.026529615215634
rho,3,2,125,125,0.562428000077878523452787288143,7.0660668942228053
rho,3,3,625,575,0.424564336130583673683903586728,11.092596509438437
rho,3,4,3125,2595,0.182630471282536572937968178491,16.426612596092365
rho,3,5,15625,10885,0.137863663947294849768883701415,23.492679490315172
rho,3,6,78125,44433,0.137863663947294849768883701415,32.85322519218473
rho,3,7,390625,177313,0.137863663947294849768883701415,45.253308173061463
rho,3,8,1953125,685171,0.137863663947294849768883701415,61.679920769153824
Q,4,0,5,5,1.73205080756887729352744634151,1.7320508075688772
Q,4,1,25,25,0.382339970007458273560821808191,3.8464415851452132
Q,4,2,125,125,0.382339970007458273560821808191,6.427571619416498
Q,4,3,625,625,0.187429216656188840749840034297,9.5784708403514287
Q,4,4,3125,2875,0.153536862492124460279531853043,13.424912425496643
Q,4,5,15625,12975,0.0843992866874899094069254637434,18.120433237344262
Q,4,6,78125,58375,0.0413738908591449725314499208505,23.85246249255048
Q,4,7,390625,259245,0.033892354164064380470308181254,30.849803298630619
Q,4,8,1953125,1135851,0.0277636849454895783411564684495,39.391765695623455
